User_ID,Signup_Date,Bet_Amount,Region,Account_Status,Login_Count,Customer_Type
6ffd5bf1,2023-02-11,3198.94,Africa,Active,174,Regular
78e0e5f3,2024-05-20,129.93,Africa,Suspended,174,High-value
f97c8068,2023-03-10,1378.77,North America,Active,152,Regular
8c0d52dd,2024-04-10,1119.94,South America,Fraudulent,125,New
be52ea12,2024-03-23,3683.67,Africa,Suspended,135,High-value
a56af395,2024-10-21,3385.11,Africa,Active,171,New
f28ca36e,2023-08-11,4461.44,Australia,Fraudulent,79,Regular
c6156808,2024-09-06,439.26,North America,Active,12,Regular
455dba05,2024-02-25,2112.5,North America,Suspended,57,High-value
e696294c,2023-02-25,153.84,Australia,Fraudulent,102,High-value
6b881fc3,2024-09-15,1097.1,South America,Active,154,Regular
82bc6429,2023-04-18,2529.25,Europe,Active,15,New
86a17ca4,2024-11-03,137.55,South America,Suspended,2,Regular
ebfa5fce,2023-03-20,998.19,Europe,Suspended,53,Regular
864ada2c,2024-01-06,3251.17,North America,Suspended,78,Regular
32de9571,2023-07-17,2726.98,Asia,Fraudulent,55,New
2ca9974c,2025-01-03,1106.1,South America,Fraudulent,197,New
1e2b32af,2023-12-28,2948.38,Asia,Suspended,36,Regular
d800fa6e,2023-03-04,4048.11,Europe,Fraudulent,196,High-value
b1ba10c8,2024-04-02,37.46,South America,Active,66,New
95bbf92a,2023-09-07,4030.07,Asia,Suspended,75,Regular
b2426d31,2024-01-28,3492.21,Asia,Fraudulent,84,Regular
b087b218,2024-10-05,1704.55,South America,Fraudulent,31,Regular
c7072b93,2023-10-04,781.62,Asia,Suspended,2,High-value
2ff88ec6,2023-07-18,4786.28,South America,Suspended,128,New
a57acc9f,2023-09-03,1686.29,Asia,Fraudulent,192,Regular
f8bf1b5e,2023-02-27,468.27,North America,Fraudulent,111,New
a513b62d,2024-04-14,488.1,South America,Suspended,45,Regular
dfe4dc81,2024-09-05,4238.23,North America,Fraudulent,34,Regular
a262634d,2023-02-08,3020.61,Australia,Active,98,New
73e49cca,2023-07-25,4036.61,Africa,Fraudulent,137,High-value
e7a2221c,2023-11-08,3650.01,North America,Active,181,High-value
78c9b7d4,2024-09-07,2683.46,Asia,Active,59,New
e44bb439,2024-10-21,4865.71,Europe,Fraudulent,129,New
5f93f912,2023-11-19,1895.78,Australia,Fraudulent,144,Regular
a03e8cae,2023-05-23,2762.44,North America,Suspended,172,Regular
d603976d,2023-10-30,4147.88,Australia,Active,91,New
3a7d42aa,2023-09-01,3094.51,North America,Fraudulent,19,New
d540784c,2023-04-29,4309.23,North America,Active,102,New
2819a40a,2024-02-21,2888.87,Europe,Suspended,190,High-value
3055d0ee,2024-11-02,3524.34,Europe,Active,11,High-value
a6ee121b,2024-08-08,233.89,North America,Fraudulent,112,High-value
cd93f5cb,2023-10-03,1143.35,Africa,Fraudulent,5,New
86420295,2024-06-06,1450.49,Europe,Active,118,New
24b046db,2023-04-28,403.56,Europe,Suspended,20,Regular
4b7bd192,2023-08-12,1167.79,Europe,Active,81,High-value
9460b396,2024-03-02,509.5,South America,Fraudulent,148,High-value
7c7a602d,2023-03-23,1393.48,Australia,Suspended,110,High-value
c7a45e0c,2024-03-23,3180.24,North America,Active,147,High-value
0f540560,2025-01-22,1827.34,Africa,Active,104,New
562c740c,2024-03-30,1854.05,Europe,Suspended,182,Regular
a5f4d6ca,2024-12-22,1051.49,South America,Active,164,Regular
e789630c,2024-01-09,1338.55,Australia,Suspended,107,Regular
7ffd2a8b,2023-09-19,4683.59,Asia,Suspended,75,New
5d6c00a2,2024-04-09,3241.94,Asia,Suspended,30,High-value
bce230ee,2024-07-01,3047.61,Europe,Suspended,104,New
92c65af0,2024-07-06,859.84,Africa,Active,6,High-value
751df9b3,2023-03-26,3646.99,Africa,Active,84,New
2e0c009c,2023-03-01,821.2,Australia,Fraudulent,44,Regular
30003807,2024-04-03,1900.38,Australia,Suspended,159,Regular
fbeb4d78,2023-04-11,4947.67,North America,Fraudulent,118,Regular
